Editorial,Cantidad de Libros
Independently Published,415
CreateSpace Independent Publishing Platform,158
Alfaguara,68
Debate,66
Planeta,66
Taurus,66
Plaza & Janés,65
Grijalbo,63
Reservoir Books,61
Penguin Random House,61
Salamandra,61
Anagrama,60
Lumen,55
Tusquets,55
Seix Barral,54
Crítica,54
Paidós,52
Ediciones B,52
Destino,52
"Creative Media Partners, LLC",42
GRIN Verlag GmbH,23
Blurb,19
Kluwer,17
"Lulu Press, Inc.",13
Babelcube Inc,10
"de Gruyter GmbH, Walter",10
Unknown,10
Sine nomine,9
"Kohlhammer, W., GmbH",8
"De Gruyter, Inc.",8
P. Lang,8
Springer,7
F. Angeli,7
Staatsuitgeverij,6
Giuffrè,6
Harmattan,6
Walburg Pers,5
Electa,5
Diplomarbeiten Agentur diplom.de. ein Imprint der Diplomica,5
Querido,5
Amsterdam University Press,5
Marsilio,5
Contact,5
L'Harmattan,4
Lit,4
"Springer London, Limited",4
Annablume,4
Oxford University Press,4
International Monetary Fund,4
De Bataafsche Leeuw,4
Einaudi,4
Books on Demand GmbH,4
Routledge,4
Wolters-Noordhoff,4
Benchmark Education Company,4
Independent Publisher,4
Prentice Hall,4
De Bezige Bij,4
"Rowman & Littlefield Publishers, Incorporated",4
Palgrave Macmillan,4
"""L'Erma"" di Bretschneider",4
Atlas,4
Skira,4
Clavis,4
Fondo de Cultura Económica,4
Plon,3
Random House Books for Young Readers,3
Gallimard,3
"Lang AG International Academic Publishers, Peter",3
Mondadori,3
Samsom,3
D. Reimer,3
Scribner,3
Arbeiderspers,3
L'Erma di Bretschneider,3
Mimesis,3
Nomos,3
Suhrkamp,3
Nelissen,3
Gangemi,3
Edizioni ETS,3
De Arbeiderspers,3
Boom,3
Pensamento,3
McGraw-Hill Companies,3
Editora Saraiva,3
Verloren,3
Logos Verlag Berlin,3
Scipione,3
UNICOPLI,3
Bertelsmann,3
Societe d'edition Les Belles lettres,3
Forum,3
"Lang GmbH, Internationaler Verlag der Wissenschaften, Peter",3
Polistampa,3
Stämpfli,3
Ática,3
Moderna,3
Cátedra,3
Ten Have,3
Taylor & Francis Group,3
Companhia das Letras,3
