Rol                       | M¾dulo (Contexto)    | Reglas Autorizadas
----------------------------------------------------------------------
Admin                     | Sin Especificar      | 10
Admin                     | AUDITORIA            | 4
Admin                     | Clientes             | 2
Admin                     | COBRANZAS            | 4
Admin                     | COMPRA               | 5
Admin                     | Compras              | 4
Admin                     | CONFIGURACION        | 4
Admin                     | CONTABILIDAD         | 2
Admin                     | Dashboard            | 1
Admin                     | ERP                  | 4
Admin                     | Fondos               | 4
Admin                     | Inventario           | 3
Admin                     | Libros               | 4
Admin                     | PAGO                 | 4
Admin                     | PrÚstamos            | 2
Admin                     | Sistema              | 4
Admin                     | STOCK                | 5
Admin                     | VENTA                | 5
Administrador             | Clientes             | 2
Administrador             | Dashboard            | 1
Administrador             | ERP                  | 4
Administrador             | Inventario           | 3
Administrador             | Libros               | 4
Administrador             | PrÚstamos            | 2
Administrador             | Sistema              | 2
adminSys                  | Sin Especificar      | 10
adminSys                  | AUDITORIA            | 4
adminSys                  | Clientes             | 2
adminSys                  | COBRANZAS            | 4
adminSys                  | COMPRA               | 5
adminSys                  | Compras              | 4
adminSys                  | CONFIGURACION        | 4
adminSys                  | Dashboard            | 1
adminSys                  | ERP                  | 4
adminSys                  | Fondos               | 4
adminSys                  | Inventario           | 3
adminSys                  | Libros               | 4
adminSys                  | PAGO                 | 4
adminSys                  | PrÚstamos            | 2
adminSys                  | Sistema              | 3
adminSys                  | STOCK                | 5
adminSys                  | VENTA                | 5
ALMACENISTA               | STOCK                | 5
APROBADOR_COMPRAS         | COMPRA               | 2
AUDITOR                   | AUDITORIA            | 4
AUDITOR                   | COBRANZAS            | 1
AUDITOR                   | COMPRA               | 2
AUDITOR                   | PAGO                 | 1
AUDITOR                   | STOCK                | 1
AUDITOR                   | VENTA                | 1
AUTORIZADOR_PAGOS         | COMPRA               | 1
AUTORIZADOR_PAGOS         | PAGO                 | 1
COBRANZAS                 | COBRANZAS            | 3
COBRANZAS                 | VENTA                | 1
COMPRADOR                 | COMPRA               | 3
CONFIGURADOR              | CONFIGURACION        | 3
CONFIGURADOR              | Sistema              | 1
CONTADOR                  | AUDITORIA            | 2
CONTADOR                  | CONFIGURACION        | 1
CUENTAS_POR_PAGAR         | COMPRA               | 1
CUENTAS_POR_PAGAR         | PAGO                 | 3
FACTURACION               | COMPRA               | 2
FACTURACION               | VENTA                | 2
Librarian                 | Clientes             | 2
Librarian                 | Dashboard            | 1
Librarian                 | Inventario           | 2
Librarian                 | Libros               | 4
Librarian                 | PrÚstamos            | 2
RECEPCIONISTA             | COMPRA               | 2
RECEPCIONISTA             | STOCK                | 1
SOLICITANTE_COMPRAS       | STOCK                | 2
soporte_tecnico           | Sin Especificar      | 0
TESORERO                  | COBRANZAS            | 1
TESORERO                  | PAGO                 | 2
VENDEDOR                  | STOCK                | 1
VENDEDOR                  | VENTA                | 3
Viewer                    | Clientes             | 1
Viewer                    | Dashboard            | 1
Viewer                    | Inventario           | 1
Viewer                    | Libros               | 1
Viewer                    | PrÚstamos            | 1
